@RELATION POS_TAG
@ATTRIBUTE text string
@ATTRIBUTE pre_tag {ADJ, ADP, ADV, AUX, CCONJ, DET, INTJ, NOUN, NUM, PART, PRON, PROPN, PUNCT, SCONJ, SYM, VERB, X, NULL}
@ATTRIBUTE class {ADJ, ADP, ADV, AUX, CCONJ, DET, INTJ, NOUN, NUM, PART, PRON, PROPN, PUNCT, SCONJ, SYM, VERB, X}

@DATA
Nyanyian,PUNCT,PROPN
Para,PROPN,PROPN
Mantan,PROPN,PROPN
(petikdua),PROPN,PUNCT
(tutupkurung),PUNCT,PUNCT
dan,PUNCT,CCONJ
sisanya,CCONJ,NOUN
adalah,NOUN,AUX
lagu,AUX,NOUN
(kurang),NOUN,PUNCT
lagu,PUNCT,NOUN
yang,NOUN,PRON
diambil,PRON,VERB
dari,VERB,ADP
album,ADP,NOUN
(kurang),NOUN,PUNCT
album,PUNCT,NOUN
solo,NOUN,NOUN
Franky,NOUN,PROPN
sebelumnya,PROPN,ADJ
maupun,ADJ,CCONJ
album,CCONJ,NOUN
(kurang),NOUN,PUNCT
album,PUNCT,NOUN
Franky,NOUN,PROPN
&amp;,PROPN,SYM
Jane,SYM,PROPN
(titik),PROPN,PUNCT
Hal,NULL,NOUN
ini,NOUN,DET
dapat,DET,ADV
disebabkan,ADV,VERB
oleh,VERB,ADP
konsumsi,ADP,NOUN
obat,NOUN,NOUN
yang,NOUN,PRON
mengandung,PRON,VERB
kortikosteroid,VERB,NOUN
seperti,NOUN,ADP
medroksiprogesteron,ADP,NOUN
asetat,NOUN,ADJ
yang,ADJ,PRON
biasa,PRON,ADV
digunakan,ADV,VERB
untuk,VERB,ADP
berbagai,ADP,DET
pengobatan,DET,NOUN
penyakit,NOUN,NOUN
akut,NOUN,ADJ
(koma),ADJ,PUNCT
atau,PUNCT,CCONJ
konsumsi,CCONJ,NOUN
bahan,NOUN,NOUN
kontrasepsi,NOUN,NOUN
yang,NOUN,PRON
mengandung,PRON,VERB
estrogen,VERB,NOUN
seperti,NOUN,ADP
mestranol,ADP,NOUN
(koma),NOUN,PUNCT
atau,PUNCT,CCONJ
menjalani,CCONJ,VERB
adrenalektomi,VERB,NOUN
yang,NOUN,PRON
biasanya,PRON,ADV
mengakibatkan,ADV,VERB
terjadinya,VERB,VERB
adenoma,VERB,NOUN
pada,NOUN,ADP
kelenjar,ADP,NOUN
hipofisis,NOUN,NOUN
(titik),NOUN,PUNCT
Melingge,NULL,PROPN
adalah,PROPN,AUX
gampong,AUX,PROPN
di,PROPN,ADP
kecamatan,ADP,NOUN
Pulo,NOUN,PROPN
Aceh,PROPN,PROPN
(koma),PROPN,PUNCT
Kabupaten,PUNCT,PROPN
Aceh,PROPN,PROPN
Besar,PROPN,PROPN
(koma),PROPN,PUNCT
Aceh,PUNCT,PROPN
(koma),PROPN,PUNCT
Indonesia,PUNCT,PROPN
(titik),PROPN,PUNCT
Penggabungan,NULL,PROPN
dari,PROPN,ADP
ketiganya,ADP,NOUN
menghasilkan,NOUN,VERB
kembalinya,VERB,NOUN
ke,NOUN,ADP
Tao,ADP,PROPN
(titik),PROPN,PUNCT
Dewata,PUNCT,PROPN
Murni,PROPN,PROPN
pertama,PROPN,NUM
adalah,NUM,AUX
chi,AUX,PROPN
universal,PROPN,ADJ
dan,ADJ,CCONJ
surgawi,CCONJ,ADJ
(titik),ADJ,PUNCT
Widodo,NULL,PROPN
Cahyono,PROPN,PROPN
Putro,PROPN,PROPN
(bukakurung),PROPN,PUNCT
(tutupkurung),PUNCT,PUNCT
adalah,PUNCT,AUX
seorang,AUX,DET
pelatih,DET,NOUN
dan,NOUN,CCONJ
pemain,CCONJ,NOUN
sepak,NOUN,NOUN
bola,NOUN,NOUN
legendaris,NOUN,NOUN
Indonesia,NOUN,PROPN
(titik),PROPN,PUNCT
Istilah,NULL,NOUN
(petikdua),NOUN,PUNCT
Kecamatan,PUNCT,NOUN
(petikdua),NOUN,PUNCT
di,PUNCT,ADP
provinsi,ADP,PROPN
Nanggroe,PROPN,PROPN
Aceh,PROPN,PROPN
Darussalam,PROPN,PROPN
disebut,PROPN,VERB
juga,VERB,ADV
dengan,ADV,ADP
(petikdua),ADP,PUNCT
Sagoe,PUNCT,PROPN
Cut,PROPN,PROPN
(petikdua),PROPN,PUNCT
sedangkan,PUNCT,SCONJ
di,SCONJ,ADP
Papua,ADP,PROPN
disebut,PROPN,VERB
dengan,VERB,ADP
istilah,ADP,NOUN
(petikdua),NOUN,PUNCT
Distrik,PUNCT,PROPN
(petikdua),PROPN,PUNCT
(titik),PUNCT,PUNCT
Wedi,NULL,PROPN
adalah,PROPN,AUX
sebuah,AUX,DET
desa,DET,NOUN
di,NOUN,ADP
wilayah,ADP,NOUN
Kecamatan,NOUN,PROPN
Gedangan,PROPN,PROPN
(koma),PROPN,PUNCT
Kabupaten,PUNCT,PROPN
Sidoarjo,PROPN,PROPN
(koma),PROPN,PUNCT
Provinsi,PUNCT,PROPN
Jawa,PROPN,PROPN
Timur,PROPN,PROPN
(titik),PROPN,PUNCT
Versi,NULL,NOUN
remix,NOUN,NOUN
Hurt,NOUN,PROPN
(bukakurung),PROPN,PUNCT
Snowflakes,PUNCT,PROPN
Remix,PROPN,PROPN
(tutupkurung),PROPN,PUNCT
sering,PUNCT,ADV
diputar,ADV,VERB
di,VERB,ADP
berbagai,ADP,DET
radio,DET,NOUN
di,NOUN,ADP
Inggris,ADP,PROPN
dan,PROPN,CCONJ
sangat,CCONJ,ADV
populer,ADV,ADJ
di,ADJ,ADP
kalangan,ADP,NOUN
penggemar,NOUN,NOUN
musik,NOUN,NOUN
urban,NOUN,NOUN
(titik),NOUN,PUNCT
Ryan,NULL,PROPN
Hidayat,PROPN,PROPN
(bukakurung),PROPN,PUNCT
(tutupkurung),PUNCT,PUNCT
adalah,PUNCT,AUX
salah,AUX,DET
satu,DET,DET
aktor,DET,NOUN
pria,NOUN,NOUN
Indonesia,NOUN,PROPN
(titik),PROPN,PUNCT
Menurut,NULL,VERB
Joseon,VERB,PROPN
Sangosa,PROPN,PROPN
(koma),PROPN,PUNCT
kehancuran,PUNCT,NOUN
tiga,NOUN,NUM
Gojoseon,NUM,PROPN
mulai,PROPN,VERB
pada,VERB,ADP
tahun,ADP,NOUN
400,NOUN,NUM
SM,NUM,PROPN
(koma),PROPN,PUNCT
ketika,PUNCT,SCONJ
Yan,SCONJ,NOUN
menyerang,NOUN,NOUN
Gojoseon,NOUN,PROPN
(koma),PROPN,PUNCT
dan,PUNCT,CCONJ
Gihu,CCONJ,PROPN
menjadi,PROPN,VERB
raja,VERB,NOUN
Beonjoseon,NOUN,PROPN
(titik),PROPN,PUNCT
Bulan,NULL,NOUN
November,NOUN,PROPN
(koma),PROPN,PUNCT
pasukan,PUNCT,NOUN
Cakraningrat,NOUN,PROPN
merebut,PROPN,VERB
Kartasura,VERB,PROPN
kembali,PROPN,ADV
(titik),ADV,PUNCT
Beberapa,NULL,DET
bulan,DET,NOUN
sebelum,NOUN,ADP
Rose,ADP,PROPN
dan,PROPN,CCONJ
kawan,CCONJ,NOUN
(kurang),NOUN,PUNCT
kawan,PUNCT,NOUN
lulus,NOUN,VERB
dari,VERB,ADP
akademi,ADP,NOUN
(koma),NOUN,PUNCT
mereka,PUNCT,PRON
wajib,PRON,ADV
mengikuti,ADV,VERB
ujian,VERB,NOUN
lapangan,NOUN,NOUN
(titik),NOUN,PUNCT
SDN,NULL,PROPN
004,PROPN,PROPN
Bengkong,PROPN,PROPN
(koma),PROPN,PUNCT
merupakan,PUNCT,VERB
salah,VERB,DET
satu,DET,DET
Sekolah,DET,NOUN
Menengah,NOUN,PROPN
Dasar,PROPN,PROPN
Negeri,PROPN,PROPN
yang,PROPN,PRON
ada,PRON,VERB
di,VERB,ADP
Provinsi,ADP,PROPN
Kepulauan,PROPN,PROPN
Riau,PROPN,PROPN
(koma),PROPN,PUNCT
yang,PUNCT,PRON
beralamat,PRON,VERB
di,VERB,ADP
Jl,ADP,PROPN
(titik),PROPN,PUNCT
Siak,PUNCT,PROPN
(koma),PROPN,PUNCT
Baloi,PUNCT,PROPN
Harapan,PROPN,PROPN
II,PROPN,PROPN
Kecamatan,PROPN,NOUN
Bengkong,NOUN,PROPN
(kurang),PROPN,PUNCT
Batam,PUNCT,PROPN
(titik),PROPN,PUNCT
Akankah,NULL,ADV
Farah,ADV,PROPN
tetap,PROPN,ADV
bertahan,ADV,VERB
hidup,VERB,VERB
(tanya),VERB,PUNCT
Di,NULL,ADP
album,ADP,NOUN
Sgt,NOUN,PROPN
(titik),PROPN,PUNCT
"Pepper's",PUNCT,PROPN
Lonely,PROPN,PROPN
Hearts,PROPN,PROPN
Club,PROPN,PROPN
Band,PROPN,NOUN
(koma),NOUN,PUNCT
band,PUNCT,NOUN
ini,NOUN,DET
juga,DET,ADV
menggunakan,ADV,VERB
beragam,VERB,DET
alat,DET,NOUN
musik,NOUN,NOUN
India,NOUN,PROPN
dalam,PROPN,ADP
lagu,ADP,NOUN
(petiksatu),NOUN,PUNCT
Within,PUNCT,PROPN
You,PROPN,PROPN
Without,PROPN,PROPN
You,PROPN,PROPN
(petiksatu),PROPN,PUNCT
(koma),PUNCT,PUNCT
klarinet,PUNCT,NOUN
di,NOUN,ADP
(petiksatu),ADP,PUNCT
When,PUNCT,PROPN
I,PROPN,PROPN
(petiksatu),PROPN,PUNCT
m,PUNCT,PROPN
Sixty,PROPN,PROPN
(kurang),PROPN,PUNCT
Four,PUNCT,PROPN
(petiksatu),PROPN,PUNCT
(koma),PUNCT,PUNCT
alat,PUNCT,NOUN
musik,NOUN,NOUN
gesek,NOUN,VERB
di,VERB,ADP
(petiksatu),ADP,PUNCT
"She's",PUNCT,PROPN
Leaving,PROPN,PROPN
Home,PROPN,PROPN
(petiksatu),PROPN,PUNCT
(koma),PUNCT,PUNCT
harpsicord,PUNCT,PROPN
di,PROPN,ADP
(petiksatu),ADP,PUNCT
Fixing,PUNCT,PROPN
a,PROPN,PROPN
Hole,PROPN,PROPN
(petiksatu),PROPN,PUNCT
(koma),PUNCT,PUNCT
harmonium,PUNCT,NOUN
di,NOUN,ADP
(petiksatu),ADP,PUNCT
Being,PUNCT,PROPN
the,PROPN,PROPN
Benefit,PROPN,PROPN
of,PROPN,PROPN
Mr,PROPN,PROPN
(titik),PROPN,PUNCT
Kite,PUNCT,PROPN
(petiksatu),PROPN,PUNCT
dan,PUNCT,CCONJ
masih,CCONJ,ADV
banyak,ADV,NOUN
lagi,NOUN,ADV
(titik),ADV,PUNCT
Konsekuensi,NULL,NOUN
logis,NOUN,ADJ
dapat,ADJ,ADV
pula,ADV,ADV
diekspresikan,ADV,VERB
sebagai,VERB,ADP
suatu,ADP,DET
fungsi,DET,NOUN
dari,NOUN,ADP
himpunan,ADP,NOUN
kalimat,NOUN,NOUN
terhadap,NOUN,ADP
himpunan,ADP,NOUN
kalimat,NOUN,NOUN
lain,NOUN,ADJ
(bukakurung),ADJ,PUNCT
formulasi,PUNCT,NOUN
Tarski,NOUN,PROPN
(tutupkurung),PROPN,PUNCT
(koma),PUNCT,PUNCT
atau,PUNCT,CCONJ
sebagai,CCONJ,ADP
hubungan,ADP,NOUN
antara,NOUN,ADP
dua,ADP,NUM
himpunan,NUM,NOUN
kalimat,NOUN,NOUN
(bukakurung),NOUN,PUNCT
logika,PUNCT,NOUN
simpulan,NOUN,NOUN
jamak,NOUN,NOUN
(koma),NOUN,PUNCT
multiple,PUNCT,PROPN
(kurang),PROPN,PUNCT
conclusion,PUNCT,PROPN
logic,PROPN,PROPN
(tutupkurung),PROPN,PUNCT
(titik),PUNCT,PUNCT
Terminal,NULL,PROPN
kargo,PROPN,PROPN
berlokasi,PROPN,VERB
di,VERB,ADP
timur,ADP,NOUN
laut,NOUN,NOUN
terminal,NOUN,NOUN
penumpang,NOUN,NOUN
dan,NOUN,CCONJ
memiliki,CCONJ,VERB
luas,VERB,NOUN
bangunan,NOUN,NOUN
9000,NOUN,NUM
m²,NUM,SYM
(koma),SYM,PUNCT
dan,PUNCT,CCONJ
merupakan,CCONJ,VERB
bekas,VERB,NOUN
bangunan,NOUN,NOUN
terminal,NOUN,NOUN
(titik),NOUN,PUNCT
Krisis,NULL,PROPN
finansial,PROPN,ADJ
Islandia,ADJ,PROPN
2008,PROPN,NUM
adalah,NUM,AUX
masalah,AUX,NOUN
di,NOUN,ADP
Islandia,ADP,PROPN
yang,PROPN,PRON
memengaruhi,PRON,VERB
ekonomi,VERB,NOUN
dan,NOUN,CCONJ
sistem,CCONJ,NOUN
perbankan,NOUN,NOUN
Islandia,NOUN,PROPN
(koma),PROPN,PUNCT
sebagai,PUNCT,ADP
dampak,ADP,NOUN
dari,NOUN,ADP
krisis,ADP,NOUN
ekonomi,NOUN,NOUN
dunia,NOUN,NOUN
