@RELATION POS_TAG
@ATTRIBUTE text string
@ATTRIBUTE pre_word string
@ATTRIBUTE class {ADJ, ADP, ADV, AUX, CCONJ, DET, INTJ, NOUN, NUM, PART, PRON, PROPN, PUNCT, SCONJ, SYM, VERB, X}

@DATA
bagian,ke,NOUN
lambung,bagian,NOUN
kapal,lambung,NOUN
Hiei,kapal,PROPN
hingga,Hiei,ADP
makin,hingga,ADV
memperparah,makin,VERB
kerusakan,memperparah,NOUN
(titik),kerusakan,PUNCT
Angka,NULL,PROPN
harapan,Angka,NOUN
hidup,harapan,NOUN
adalah,hidup,AUX
73,adalah,NUM
(koma),73,PUNCT
4,(koma),NUM
tahun,4,NOUN
(koma),tahun,PUNCT
yakni,(koma),ADP
di,yakni,ADP
bawah,di,NOUN
rerata,bawah,NOUN
Uni,rerata,PROPN
Eropa,Uni,PROPN
(titik),Eropa,PUNCT
Pasukan,NULL,PROPN
Mongol,Pasukan,PROPN
yang,Mongol,PRON
tidak,yang,ADV
tahu,tidak,VERB
apa,tahu,NOUN
yang,apa,PRON
harus,yang,ADV
mereka,harus,PRON
perbuat,mereka,VERB
itu,perbuat,DET
disiasati,itu,VERB
oleh,disiasati,ADP
Raden,oleh,PROPN
Wijaya,Raden,PROPN
untuk,Wijaya,ADP
membantunya,untuk,VERB
memberontak,membantunya,VERB
melawan,memberontak,ADP
kerajaan,melawan,PROPN
Kediri,kerajaan,PROPN
(titik),Kediri,PUNCT
Krogh,NULL,PROPN
juga,Krogh,ADV
yang,juga,PRON
pertama,yang,ADJ
kali,pertama,NOUN
membuat,kali,VERB
studi,membuat,NOUN
perbandingan,studi,NOUN
pada,perbandingan,ADP
hewan,pada,NOUN
(titik),hewan,PUNCT
Lagu,NULL,PROPN
ini,Lagu,DET
kemudian,ini,ADV
ditampilkan,kemudian,VERB
sebagai,ditampilkan,ADP
lagu,sebagai,NOUN
utama,lagu,ADJ
dalam,utama,ADP
rilisan,dalam,NOUN
EP,rilisan,PROPN
(bukakurung),EP,PUNCT
Extended,(bukakurung),PROPN
Play,Extended,PROPN
(tutupkurung),Play,PUNCT
(koma),(tutupkurung),PUNCT
Moshi,(koma),PROPN
Moshi,Moshi,PROPN
Harajuku,Moshi,PROPN
(koma),Harajuku,PUNCT
dan,(koma),CCONJ
album,dan,NOUN
(petikdua),album,PUNCT
Pamyu,(petikdua),PROPN
Pamyu,Pamyu,PROPN
Revolution,Pamyu,PROPN
(petikdua),Revolution,PUNCT
(titik),(petikdua),PUNCT
Maka,NULL,SCONJ
dimulailah,Maka,VERB
suatu,dimulailah,DET
gerakan,suatu,NOUN
yang,gerakan,PRON
bertujuan,yang,VERB
membentuk,bertujuan,VERB
kelompok,membentuk,NOUN
pendidikan,kelompok,NOUN
(titik),pendidikan,PUNCT
Cikal,NULL,NOUN
bakal,Cikal,NOUN
Lembaga,bakal,PROPN
Pendidikan,Lembaga,PROPN
ini,Pendidikan,DET
dirintis,ini,VERB
oleh,dirintis,ADP
beberapa,oleh,DET
ulama,beberapa,NOUN
terdahulu,ulama,ADJ
di,terdahulu,ADP
antaranya,di,ADP
oleh,antaranya,ADP
almarhum,oleh,NOUN
Bapak,almarhum,PROPN
M,Bapak,PROPN
(titik),M,PUNCT
Basith,(titik),PROPN
yang,Basith,PRON
kegiatan,yang,NOUN
belajar,kegiatan,NOUN
mengajarnya,belajar,VERB
bermula,mengajarnya,VERB
di,bermula,ADP
Musholla,di,PROPN
Taqwa,Musholla,PROPN
Muaradua,Taqwa,PROPN
sejak,Muaradua,ADP
pengujung,sejak,NOUN
tahun,pengujung,NOUN
(petiksatu),tahun,PUNCT
70,(petiksatu),NUM
(kurang),70,PUNCT
an,(kurang),NUM
(titik),an,PUNCT
Demikian,NULL,PRON
juga,Demikian,ADV
bagi,juga,ADP
sebagian,bagi,DET
besar,sebagian,ADJ
kalangan,besar,NOUN
masyarakat,kalangan,NOUN
yang,masyarakat,PRON
menganggap,yang,VERB
bahwa,menganggap,SCONJ
pemerintahan,bahwa,NOUN
di,pemerintahan,ADP
Amerika,di,PROPN
Serikat,Amerika,PROPN
terlalu,Serikat,ADV
birokratis,terlalu,ADJ
(titik),birokratis,PUNCT
Aliran,NULL,NOUN
ini,Aliran,DET
memiliki,ini,VERB
ajaran,memiliki,NOUN
yang,ajaran,PRON
bervariasi,yang,VERB
mengenai,bervariasi,PUNCT
Kristologi,mengenai,PROPN
Yesus,Kristologi,PROPN
(titikdua),Yesus,PUNCT
Doketisme,(titikdua),NOUN
merupakan,Doketisme,VERB
salah,merupakan,ADJ
satu,salah,NUM
aliran,satu,NOUN
dari,aliran,ADP
Gnostisisme,dari,PROPN
yang,Gnostisisme,PRON
ada,yang,VERB
pada,ada,ADP
saat,pada,NOUN
itu,saat,DET
(titik),itu,PUNCT
Santa,NULL,PROPN
Fe,Santa,PROPN
adalah,Fe,AUX
sebuah,adalah,DET
kotamadya,sebuah,NOUN
di,kotamadya,ADP
Vega,di,PROPN
de,Vega,PROPN
Granada,de,PROPN
(koma),Granada,PUNCT
Granada,(koma),PROPN
(koma),Granada,PUNCT
Spanyol,(koma),PROPN
(koma),Spanyol,PUNCT
dialiri,(koma),VERB
oleh,dialiri,ADP
Sungai,oleh,PROPN
Genil,Sungai,PROPN
(titik),Genil,PUNCT
Kapal,NULL,NOUN
ini,Kapal,DET
didesain,ini,VERB
sebagai,didesain,ADP
kapal,sebagai,NOUN
serang,kapal,VERB
berkecapatan,serang,VERB
tinggi,berkecapatan,ADJ
(koma),tinggi,PUNCT
untuk,(koma),ADP
mencapai,untuk,VERB
itu,mencapai,NOUN
maka,itu,SCONJ
badan,maka,NOUN
kapal,badan,NOUN
dibuat,kapal,VERB
dari,dibuat,ADP
Aluminium,dari,PROPN
sehingga,Aluminium,ADP
bisa,sehingga,ADV
lebih,bisa,ADV
ringan,lebih,ADJ
selain,ringan,ADP
itu,selain,NOUN
untuk,itu,ADP
mencapai,untuk,VERB
kecepatan,mencapai,NOUN
tinggi,kecepatan,ADJ
kapal,tinggi,NOUN
ini,kapal,DET
dilengkapi,ini,VERB
dengan,dilengkapi,ADP
mesin,dengan,NOUN
gas,mesin,NOUN
turbin,gas,NOUN
General,turbin,PROPN
Electric,General,PROPN
LM,Electric,PROPN
1500,LM,NUM
selain,1500,ADP
2,selain,NUM
buah,2,NOUN
mesin,buah,NOUN
diesel,mesin,NOUN
untuk,diesel,ADP
kecepatan,untuk,NOUN
rendah,kecepatan,ADJ
(titik),rendah,PUNCT
Partai,NULL,PROPN
ini,Partai,DET
didirikan,ini,VERB
pada,didirikan,ADP
bulan,pada,PROPN
Desember,bulan,PROPN
1945,Desember,NUM
di,1945,ADP
Purwakarta,di,PROPN
(titik),Purwakarta,PUNCT
Tidak,NULL,PART
ada,Tidak,VERB
keterangan,ada,NOUN
kejatuhan,keterangan,NOUN
Yerusalem,kejatuhan,PROPN
(bukakurung),Yerusalem,PUNCT
berbeda,(bukakurung),VERB
dengan,berbeda,ADP
kota,dengan,NOUN
(kurang),kota,PUNCT
kota,(kurang),NOUN
lain,kota,ADJ
(tutupkurung),lain,PUNCT
maupun,(tutupkurung),CCONJ
gagalnya,maupun,NOUN
Sanherib,gagalnya,NOUN
merebut,Sanherib,VERB
Yerusalem,merebut,NOUN
(titik),Yerusalem,PUNCT
Bang,NULL,PROPN
Yong,Bang,PROPN
Guk,Yong,PROPN
berkomentar,Guk,VERB
(koma),berkomentar,PUNCT
(petikdua),(koma),PUNCT
Tujuan,(petikdua),NOUN
saya,Tujuan,PRON
dari,saya,ADP
awal,dari,ADJ
tidak,awal,PART
menjadi,tidak,VERB
penyanyi,menjadi,NOUN
K,penyanyi,PROPN
(kurang),K,PUNCT
pop,(kurang),PROPN
(titik),pop,PUNCT
Lambda,NULL,PROPN
Indonesia,Lambda,PROPN
dan,Indonesia,CCONJ
organisasi,dan,NOUN
sejenis,organisasi,NOUN
lainnya,sejenis,ADJ
bermunculan,lainnya,VERB
pada,bermunculan,ADP
akhir,pada,NOUN
tahun,akhir,NOUN
1980,tahun,NUM
(kurang),1980,PUNCT
an,(kurang),NUM
dan,an,CCONJ
1990,dan,NUM
(kurang),1990,PUNCT
an,(kurang),NUM
(titik),an,PUNCT
Kota,NULL,NOUN
ini,Kota,DET
letaknya,ini,NOUN
di,letaknya,ADP
bagian,di,NOUN
utara,bagian,NOUN
(titik),utara,PUNCT
Apa,NULL,NOUN
yang,Apa,PRON
ia,yang,PRON
lakukan,ia,VERB
(koma),lakukan,PUNCT
dan,(koma),CCONJ
mengapa,dan,NOUN
ia,mengapa,PRON
melakukannya,ia,VERB
(tanya),melakukannya,PUNCT
Soa,NULL,PROPN
Sahertian,Soa,PROPN
(koma),Sahertian,PUNCT
Soa,(koma),PROPN
Tetelepta,Soa,PROPN
(koma),Tetelepta,PUNCT
Soa,(koma),PROPN
Polnaya,Soa,PROPN
(koma),Polnaya,PUNCT
Soa,(koma),PROPN
Wattimury,Soa,PROPN
(koma),Wattimury,PUNCT
Soa,(koma),PROPN
Latuihamallo,Soa,PROPN
(koma),Latuihamallo,PUNCT
dan,(koma),CCONJ
Soa,dan,PROPN
Aponno,Soa,PROPN
(titik),Aponno,PUNCT
Apakah,NULL,NOUN
gelasnya,Apakah,NOUN
setengah,gelasnya,ADJ
kosong,setengah,ADJ
atau,kosong,CCONJ
setengah,atau,ADJ
penuh,setengah,ADJ
(tanya),penuh,PUNCT
Itulah,NULL,DET
sekilas,Itulah,NOUN
wajah,sekilas,NOUN
(slice),wajah,SYM
cermin,(slice),NOUN
desa,cermin,NOUN
Mundu,desa,PROPN
(titik),Mundu,PUNCT
Bagaimana,NULL,ADV
bisa,Bagaimana,ADV
kita,bisa,PRON
tidak,kita,PART
mengungkapkan,tidak,VERB
kesedihan,mengungkapkan,NOUN
yang,kesedihan,PRON
mendalam,yang,ADJ
akan,mendalam,ADV
semua,akan,DET
hal,semua,NOUN
ini,hal,DET
(tanya),ini,PUNCT
Pdt,NULL,PROPN
(titik),Pdt,PUNCT
Fecki,(titik),PROPN
merupakan,Fecki,VERB
Pemimpin,merupakan,PROPN
Umum,Pemimpin,PROPN
(slice),Umum,SYM
Redaksi,(slice),PROPN
Renungan,Redaksi,PROPN
Harian,Renungan,PROPN
Anggur,Harian,PROPN
Baru,Anggur,PROPN
(titik),Baru,PUNCT
Ia,(titik),PRON
menjabat,Ia,VERB
sebagai,menjabat,ADP
Sekretaris,sebagai,NOUN
II,Sekretaris,NUM
BPH,II,NOUN
Sinode,BPH,NOUN
Gereja,Sinode,NOUN
Bethel,Gereja,PROPN
Indonesia,Bethel,PROPN
untuk,Indonesia,ADP
periode,untuk,NOUN
2008,periode,NUM
(kurang),2008,PUNCT
2012,(kurang),NUM
(titik),2012,PUNCT
Lelaki,NULL,PROPN
dan,Lelaki,CCONJ
Telaga,dan,PROPN
adalah,Telaga,AUX
album,adalah,NOUN
solo,album,NOUN
Franky,solo,PROPN
Sahilatua,Franky,PROPN
yang,Sahilatua,PRON
berisi,yang,VERB
tiga,berisi,NUM
lagu,tiga,NOUN
baru,lagu,ADJ
(bukakurung),baru,PUNCT
(petikdua),(bukakurung),PUNCT
Lelaki,(petikdua),PROPN
dan,Lelaki,CCONJ
Telaga,dan,PROPN
(petikdua),Telaga,PUNCT
(koma),(petikdua),PUNCT
(petikdua),(koma),PUNCT
Hitam,(petikdua),PROPN
Putih,Hitam,PROPN
(petikdua),Putih,PUNCT
(koma),(petikdua),PUNCT
dan,(koma),CCONJ
(petikdua),dan,PUNCT
Nyanyian,(petikdua),PROPN
Para,Nyanyian,PROPN
Mantan,Para,PROPN
(petikdua),Mantan,PUNCT
(tutupkurung),(petikdua),PUNCT
dan,(tutupkurung),CCONJ
sisanya,dan,NOUN
adalah,sisanya,AUX
lagu,adalah,NOUN
(kurang),lagu,PUNCT
lagu,(kurang),NOUN
yang,lagu,PRON
diambil,yang,VERB
dari,diambil,ADP
album,dari,NOUN
(kurang),album,PUNCT
album,(kurang),NOUN
solo,album,NOUN
Franky,solo,PROPN
sebelumnya,Franky,ADJ
maupun,sebelumnya,CCONJ
album,maupun,NOUN
(kurang),album,PUNCT
album,(kurang),NOUN
Franky,album,PROPN
&amp;,Franky,SYM
Jane,&amp;,PROPN
(titik),Jane,PUNCT
Hal,NULL,NOUN
ini,Hal,DET
dapat,ini,ADV
disebabkan,dapat,VERB
oleh,disebabkan,ADP
konsumsi,oleh,NOUN
obat,konsumsi,NOUN
yang,obat,PRON
mengandung,yang,VERB
kortikosteroid,mengandung,NOUN
seperti,kortikosteroid,ADP
medroksiprogesteron,seperti,NOUN
asetat,medroksiprogesteron,ADJ
yang,asetat,PRON
biasa,yang,ADV
digunakan,biasa,VERB
untuk,digunakan,ADP
berbagai,untuk,DET
pengobatan,berbagai,NOUN
penyakit,pengobatan,NOUN
akut,penyakit,ADJ
(koma),akut,PUNCT
atau,(koma),CCONJ
konsumsi,atau,NOUN
bahan,konsumsi,NOUN
kontrasepsi,bahan,NOUN
yang,kontrasepsi,PRON
mengandung,yang,VERB
estrogen,mengandung,NOUN
seperti,estrogen,ADP
mestranol,seperti,NOUN
(koma),mestranol,PUNCT
atau,(koma),CCONJ
menjalani,atau,VERB
adrenalektomi,menjalani,NOUN
yang,adrenalektomi,PRON
biasanya,yang,ADV
mengakibatkan,biasanya,VERB
terjadinya,mengakibatkan,VERB
adenoma,terjadinya,NOUN
pada,adenoma,ADP
kelenjar,pada,NOUN
hipofisis,kelenjar,NOUN
(titik),hipofisis,PUNCT
Melingge,NULL,PROPN
adalah,Melingge,AUX
gampong,adalah,PROPN
di,gampong,ADP
kecamatan,di,NOUN
Pulo,kecamatan,PROPN
Aceh,Pulo,PROPN
(koma),Aceh,PUNCT
Kabupaten,(koma),PROPN
Aceh,Kabupaten,PROPN
Besar,Aceh,PROPN
(koma),Besar,PUNCT
Aceh,(koma),PROPN
(koma),Aceh,PUNCT
Indonesia,(koma),PROPN
(titik),Indonesia,PUNCT
Penggabungan,NULL,PROPN
dari,Penggabungan,ADP
ketiganya,dari,NOUN
menghasilkan,ketiganya,VERB
kembalinya,menghasilkan,NOUN
ke,kembalinya,ADP
Tao,ke,PROPN
(titik),Tao,PUNCT
Dewata,(titik),PROPN
Murni,Dewata,PROPN
pertama,Murni,NUM
adalah,pertama,AUX
chi,adalah,PROPN
universal,chi,ADJ
dan,universal,CCONJ
surgawi,dan,ADJ
(titik),surgawi,PUNCT
Widodo,NULL,PROPN
Cahyono,Widodo,PROPN
Putro,Cahyono,PROPN
(bukakurung),Putro,PUNCT
(tutupkurung),(bukakurung),PUNCT
adalah,(tutupkurung),AUX
seorang,adalah,DET
pelatih,seorang,NOUN
dan,pelatih,CCONJ
pemain,dan,NOUN
sepak,pemain,NOUN
bola,sepak,NOUN
legendaris,bola,NOUN
Indonesia,legendaris,PROPN
(titik),Indonesia,PUNCT
Istilah,NULL,NOUN
(petikdua),Istilah,PUNCT
Kecamatan,(petikdua),NOUN
(petikdua),Kecamatan,PUNCT
di,(petikdua),ADP
provinsi,di,PROPN
Nanggroe,provinsi,PROPN
Aceh,Nanggroe,PROPN
Darussalam,Aceh,PROPN
disebut,Darussalam,VERB
juga,disebut,ADV
dengan,juga,ADP
(petikdua),dengan,PUNCT
Sagoe,(petikdua),PROPN
Cut,Sagoe,PROPN
(petikdua),Cut,PUNCT
sedangkan,(petikdua),SCONJ
di,sedangkan,ADP
Papua,di,PROPN
disebut,Papua,VERB
dengan,disebut,ADP
istilah,dengan,NOUN
(petikdua),istilah,PUNCT
Distrik,(petikdua),PROPN
(petikdua),Distrik,PUNCT
(titik),(petikdua),PUNCT
Wedi,NULL,PROPN
adalah,Wedi,AUX
sebuah,adalah,DET
desa,sebuah,NOUN
di,desa,ADP
wilayah,di,NOUN
Kecamatan,wilayah,PROPN
Gedangan,Kecamatan,PROPN
(koma),Gedangan,PUNCT
Kabupaten,(koma),PROPN
Sidoarjo,Kabupaten,PROPN
(koma),Sidoarjo,PUNCT
Provinsi,(koma),PROPN
Jawa,Provinsi,PROPN
Timur,Jawa,PROPN
(titik),Timur,PUNCT
Versi,NULL,NOUN
remix,Versi,NOUN
Hurt,remix,PROPN
(bukakurung),Hurt,PUNCT
Snowflakes,(bukakurung),PROPN
Remix,Snowflakes,PROPN
(tutupkurung),Remix,PUNCT
sering,(tutupkurung),ADV
diputar,sering,VERB
di,diputar,ADP
berbagai,di,DET
radio,berbagai,NOUN
di,radio,ADP
Inggris,di,PROPN
dan,Inggris,CCONJ
sangat,dan,ADV
populer,sangat,ADJ
di,populer,ADP
kalangan,di,NOUN
penggemar,kalangan,NOUN
musik,penggemar,NOUN
urban,musik,NOUN
(titik),urban,PUNCT
Ryan,NULL,PROPN
Hidayat,Ryan,PROPN
(bukakurung),Hidayat,PUNCT
(tutupkurung),(bukakurung),PUNCT
adalah,(tutupkurung),AUX
salah,adalah,DET
satu,salah,DET
aktor,satu,NOUN
pria,aktor,NOUN
Indonesia,pria,PROPN
(titik),Indonesia,PUNCT
Menurut,NULL,VERB
Joseon,Menurut,PROPN
Sangosa,Joseon,PROPN
(koma),Sangosa,PUNCT
kehancuran,(koma),NOUN
tiga,kehancuran,NUM
Gojoseon,tiga,PROPN
mulai,Gojoseon,VERB
pada,mulai,ADP
tahun,pada,NOUN
400,tahun,NUM
SM,400,PROPN
(koma),SM,PUNCT
ketika,(koma),SCONJ
Yan,ketika,NOUN
menyerang,Yan,NOUN
Gojoseon,menyerang,PROPN
(koma),Gojoseon,PUNCT
dan,(koma),CCONJ
Gihu,dan,PROPN
menjadi,Gihu,VERB
raja,menjadi,NOUN
Beonjoseon,raja,PROPN
(titik),Beonjoseon,PUNCT
Bulan,NULL,NOUN
November,Bulan,PROPN
(koma),November,PUNCT
pasukan,(koma),NOUN
Cakraningrat,pasukan,PROPN
merebut,Cakraningrat,VERB
Kartasura,merebut,PROPN
kembali,Kartasura,ADV
(titik),kembali,PUNCT
Beberapa,NULL,DET
bulan,Beberapa,NOUN
sebelum,bulan,ADP
Rose,sebelum,PROPN
dan,Rose,CCONJ
kawan,dan,NOUN
(kurang),kawan,PUNCT
kawan,(kurang),NOUN
lulus,kawan,VERB
dari,lulus,ADP
akademi,dari,NOUN
(koma),akademi,PUNCT
mereka,(koma),PRON
wajib,mereka,ADV
mengikuti,wajib,VERB
ujian,mengikuti,NOUN
lapangan,ujian,NOUN
(titik),lapangan,PUNCT
SDN,NULL,PROPN
004,SDN,PROPN
Bengkong,004,PROPN
(koma),Bengkong,PUNCT
merupakan,(koma),VERB
salah,merupakan,DET
satu,salah,DET
Sekolah,satu,NOUN
Menengah,Sekolah,PROPN
Dasar,Menengah,PROPN
Negeri,Dasar,PROPN
yang,Negeri,PRON
ada,yang,VERB
di,ada,ADP
Provinsi,di,PROPN
Kepulauan,Provinsi,PROPN
Riau,Kepulauan,PROPN
(koma),Riau,PUNCT
yang,(koma),PRON
beralamat,yang,VERB
di,beralamat,ADP
Jl,di,PROPN
(titik),Jl,PUNCT
Siak,(titik),PROPN
(koma),Siak,PUNCT
Baloi,(koma),PROPN
Harapan,Baloi,PROPN
II,Harapan,PROPN
Kecamatan,II,NOUN
Bengkong,Kecamatan,PROPN
(kurang),Bengkong,PUNCT
Batam,(kurang),PROPN
(titik),Batam,PUNCT
Akankah,NULL,ADV
Farah,Akankah,PROPN
tetap,Farah,ADV
bertahan,tetap,VERB
hidup,bertahan,VERB
(tanya),hidup,PUNCT
Di,NULL,ADP
album,Di,NOUN
Sgt,album,PROPN
(titik),Sgt,PUNCT
"Pepper's",(titik),PROPN
Lonely,"Pepper's",PROPN
Hearts,Lonely,PROPN
Club,Hearts,PROPN
Band,Club,NOUN
(koma),Band,PUNCT
band,(koma),NOUN
ini,band,DET
juga,ini,ADV
menggunakan,juga,VERB
beragam,menggunakan,DET
alat,beragam,NOUN
musik,alat,NOUN
India,musik,PROPN
dalam,India,ADP
lagu,dalam,NOUN
(petiksatu),lagu,PUNCT
Within,(petiksatu),PROPN
You,Within,PROPN
Without,You,PROPN
You,Without,PROPN
(petiksatu),You,PUNCT
(koma),(petiksatu),PUNCT
klarinet,(koma),NOUN
di,klarinet,ADP
(petiksatu),di,PUNCT
When,(petiksatu),PROPN
I,When,PROPN
(petiksatu),I,PUNCT
m,(petiksatu),PROPN
Sixty,m,PROPN
(kurang),Sixty,PUNCT
Four,(kurang),PROPN
(petiksatu),Four,PUNCT
(koma),(petiksatu),PUNCT
alat,(koma),NOUN
musik,alat,NOUN
gesek,musik,VERB
di,gesek,ADP
(petiksatu),di,PUNCT
"She's",(petiksatu),PROPN
Leaving,"She's",PROPN
Home,Leaving,PROPN
(petiksatu),Home,PUNCT
(koma),(petiksatu),PUNCT
harpsicord,(koma),PROPN
di,harpsicord,ADP
(petiksatu),di,PUNCT
Fixing,(petiksatu),PROPN
a,Fixing,PROPN
Hole,a,PROPN
(petiksatu),Hole,PUNCT
(koma),(petiksatu),PUNCT
harmonium,(koma),NOUN
di,harmonium,ADP
(petiksatu),di,PUNCT
Being,(petiksatu),PROPN
the,Being,PROPN
Benefit,the,PROPN
of,Benefit,PROPN
Mr,of,PROPN
(titik),Mr,PUNCT
Kite,(titik),PROPN
(petiksatu),Kite,PUNCT
dan,(petiksatu),CCONJ
masih,dan,ADV
banyak,masih,NOUN
lagi,banyak,ADV
(titik),lagi,PUNCT
Konsekuensi,NULL,NOUN
logis,Konsekuensi,ADJ
dapat,logis,ADV
pula,dapat,ADV
diekspresikan,pula,VERB
sebagai,diekspresikan,ADP
suatu,sebagai,DET
fungsi,suatu,NOUN
dari,fungsi,ADP
himpunan,dari,NOUN
kalimat,himpunan,NOUN
terhadap,kalimat,ADP
himpunan,terhadap,NOUN
kalimat,himpunan,NOUN
lain,kalimat,ADJ
(bukakurung),lain,PUNCT
formulasi,(bukakurung),NOUN
Tarski,formulasi,PROPN
(tutupkurung),Tarski,PUNCT
(koma),(tutupkurung),PUNCT
atau,(koma),CCONJ
sebagai,atau,ADP
hubungan,sebagai,NOUN
antara,hubungan,ADP
dua,antara,NUM
himpunan,dua,NOUN
kalimat,himpunan,NOUN
(bukakurung),kalimat,PUNCT
logika,(bukakurung),NOUN
simpulan,logika,NOUN
jamak,simpulan,NOUN
(koma),jamak,PUNCT
multiple,(koma),PROPN
(kurang),multiple,PUNCT
conclusion,(kurang),PROPN
logic,conclusion,PROPN
(tutupkurung),logic,PUNCT
(titik),(tutupkurung),PUNCT
Terminal,NULL,PROPN
kargo,Terminal,PROPN
berlokasi,kargo,VERB
di,berlokasi,ADP
timur,di,NOUN
laut,timur,NOUN
terminal,laut,NOUN
penumpang,terminal,NOUN
dan,penumpang,CCONJ
memiliki,dan,VERB
luas,memiliki,NOUN
bangunan,luas,NOUN
9000,bangunan,NUM
m²,9000,SYM
(koma),m²,PUNCT
dan,(koma),CCONJ
merupakan,dan,VERB
bekas,merupakan,NOUN
bangunan,bekas,NOUN
terminal,bangunan,NOUN
(titik),terminal,PUNCT
Krisis,NULL,PROPN
finansial,Krisis,ADJ
Islandia,finansial,PROPN
2008,Islandia,NUM
adalah,2008,AUX
masalah,adalah,NOUN
di,masalah,ADP
Islandia,di,PROPN
yang,Islandia,PRON
memengaruhi,yang,VERB
ekonomi,memengaruhi,NOUN
dan,ekonomi,CCONJ
sistem,dan,NOUN
perbankan,sistem,NOUN
Islandia,perbankan,PROPN
(koma),Islandia,PUNCT
sebagai,(koma),ADP
dampak,sebagai,NOUN
dari,dampak,ADP
krisis,dari,NOUN
ekonomi,krisis,NOUN
dunia,ekonomi,NOUN
2008,dunia,NUM
(titik),2008,PUNCT
Sekitar,NULL,DET
95,Sekitar,NUM
(persen),95,SYM
kreatina,(persen),PROPN
disimpan,kreatina,VERB
di,disimpan,ADP
dalam,di,ADP
otot,dalam,NOUN
rangka,otot,NOUN
(titik),rangka,PUNCT
Namun,NULL,CCONJ
(koma),Namun,PUNCT
hal,(koma),NOUN
ini,hal,DET
rupanya,ini,ADV
membuat,rupanya,VERB
Amba,membuat,PROPN
Franda,Amba,PROPN
yang,Franda,PRON
juga,yang,ADV
memiliki,juga,VERB
manajemen,memiliki,NOUN
merasa,manajemen,VERB
tersaingi,merasa,VERB
(titik),tersaingi,PUNCT
Diperkirakan,NULL,VERB
ada,Diperkirakan,VERB
sekitar,ada,ADP
11,sekitar,NUM
sampai,11,ADP
12,sampai,NUM
juta,12,NUM
jiwa,juta,NOUN
bangsa,jiwa,NOUN
Armenia,bangsa,PROPN
di,Armenia,ADP
dunia,di,NOUN
(titik),dunia,PUNCT
Ia,NULL,PRON
mempunyai,Ia,VERB
